"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"CU","2023-04-01","79.7","3.8","5.65","Lodolo, Nick",665833,666157,"strikeout","swinging_strike",,,,,6,"Oneil Cruz strikes out swinging.","R","L","L","CIN","PIT","S",2,,3,2,2023,"-1.57","0.03","0.53","3.18",,,,2,5,"Top",,,,,592200,,,-4.20957288729784,-115.96498269121811,1.3030518913839024,-13.276284665179851,23.185894559009114,-32.39782787147021,"3.82","1.79",,,,"79.1",2877,"6",718756,666157,592200,663886,663697,668715,676480,656413,670770,571976,"54.47",,,"0",1,0,0,,40,6,"Curveball",3,2,2,3,2,3,2,3,"Standard","Standard",299,"0.014","-0.131"
"FF","2023-04-01","93.7","3.59","5.63","Lodolo, Nick",665833,666157,,"ball",,,,,4,"Oneil Cruz strikes out swinging.","R","L","L","CIN","PIT","B",,,2,2,2023,"1.55","0.95","-0.72","2.9",,,,2,5,"Top",,,,,592200,,,-14.546794627841198,-135.63509511964614,-3.3736779891091926,22.410099341928188,30.337646989307572,-19.808474706417638,"3.59","1.72",,,,"93.4",2290,"6.5",718756,666157,592200,663886,663697,668715,676480,656413,670770,571976,"54.03",,,,,,,,40,5,"4-Seam Fastball",3,2,2,3,2,3,2,3,"Standard","Standard",114,"0","0.04"
"FF","2023-04-01","92.2","3.66","5.51","Lodolo, Nick",665833,666157,,"ball",,,,,13,"Oneil Cruz strikes out swinging.","R","L","L","CIN","PIT","B",,,1,2,2023,"1.44","0.87","-0.87","0.69",,,,2,5,"Top",,,,,592200,,,-14.589824125181043,-133.23246137819598,-8.22900207492046,20.270056490266445,28.32160061900966,-20.029752096164806,"3.64","1.72",,,,"91.8",2220,"6.4",718756,666157,592200,663886,663697,668715,676480,656413,670770,571976,"54.06",,,,,,,,40,4,"4-Seam Fastball",3,2,2,3,2,3,2,3,"Standard","Standard",122,"0","0.016"
"CU","2023-04-01","79.3","3.85","5.59","Lodolo, Nick",665833,666157,,"swinging_strike",,,,,7,"Oneil Cruz strikes out swinging.","R","L","L","CIN","PIT","S",,,1,1,2023,"-1.4","0.13","-0.45","2.19",,,,2,5,"Top",,,,,592200,,,-6.731346544469315,-115.29160799477684,-0.7854333188621935,-10.951398151040634,24.446558495326162,-31.127544245394404,"3.82","1.79",,,,"78.4",2815,"6",718756,666157,592200,663886,663697,668715,676480,656413,670770,571976,"54.45",,,,,,,,40,3,"Curveball",3,2,2,3,2,3,2,3,"Strategic","Standard",307,"0","-0.027"
"FF","2023-04-01","92.4","3.69","5.49","Lodolo, Nick",665833,666157,,"ball",,,,,14,"Oneil Cruz strikes out swinging.","R","L","L","CIN","PIT","B",,,0,1,2023,"1.7","0.88","0.11","1.37",,,,2,5,"Top",,,,,592200,,,-12.729181245262792,-133.83085101944508,-6.498147961631275,23.21891397946004,29.5050922666229,-20.302001357247224,"3.62","1.72",,,,"91.7",2307,"6.1",718756,666157,592200,663886,663697,668715,676480,656413,670770,571976,"54.35",,,,,,,,40,2,"4-Seam Fastball",3,2,2,3,2,3,2,3,"Standard","Standard",118,"0","0.013"
"CU","2023-04-01","79.2","3.85","5.54","Lodolo, Nick",665833,666157,,"swinging_strike",,,,,13,"Oneil Cruz strikes out swinging.","R","L","L","CIN","PIT","S",,,0,0,2023,"-1.43","-0.5","-1.23","1.23",,,,2,5,"Top",,,,,592200,,,-8.34431022961135,-115.04952825926013,-1.6120355066794225,-11.047394602579532,22.545878231750688,-36.543457799591714,"3.82","1.79",,,,"78.4",2820,"6",718756,666157,592200,663886,663697,668715,676480,656413,670770,571976,"54.53",,,,,,,,40,1,"Curveball",3,2,2,3,2,3,2,3,"Standard","Standard",303,"0","-0.018"
"CH","2023-04-01","87.5","3.66","5.59","Lodolo, Nick",656582,666157,"strikeout","swinging_strike",,,,,14,"Connor Joe strikes out swinging.","R","R","L","CIN","PIT","S",2,,2,2,2023,"1.7","0.11","0.61","1.31",,,,1,5,"Top",,,,,592200,,,-10.807614517210213,-126.89429930320183,-4.36550474536077,20.541818581025055,25.720997260931583,-30.26698854229137,"3.16","1.47",,,,"87.1",1897,"6.2",718756,666157,592200,663886,663697,668715,676480,656413,670770,571976,"54.27",,,"0",1,0,0,,39,6,"Changeup",3,2,2,3,2,3,2,3,"Standard","Standard",112,"0.023","-0.149"
"FF","2023-04-01","92","3.82","5.62","Lodolo, Nick",656582,666157,,"ball",,,,,11,"Connor Joe strikes out swinging.","R","R","L","CIN","PIT","B",,,1,2,2023,"1.53","0.89","-0.72","3.93",,,,1,5,"Top",,,,,592200,,,-14.668510962445376,-133.15645193321868,-0.35582754282112655,21.20150749973783,26.977794681327513,-21.618461504232734,"3.25","1.53",,,,"91.3",2251,"6",718756,666157,592200,663886,663697,668715,676480,656413,670770,571976,"54.46",,,,,,,,39,5,"4-Seam Fastball",3,2,2,3,2,3,2,3,"Standard","Standard",121,"0","0.029"
"SI","2023-04-01","92.2","3.65","5.71","Lodolo, Nick",656582,666157,,"foul",,,,,2,"Connor Joe strikes out swinging.","R","R","L","CIN","PIT","S",,,1,2,2023,"1.38","0.46","-0.14","2.9",,,,1,5,"Top",,,,,592200,,,-12.599420426613221,-133.6642600432041,-2.2549108354188716,19.346216928005006,29.500014947761805,-26.40507838667154,"3.16","1.47",205,"74",50,"91.7",2307,"6.2",718756,666157,592200,663886,663697,668715,676480,656413,670770,571976,"54.25",,,,,,,,39,4,"Sinker",3,2,2,3,2,3,2,3,"Standard","Standard",121,"0","0"
"CU","2023-04-01","76.9","3.81","5.66","Lodolo, Nick",656582,666157,,"called_strike",,,,,6,"Connor Joe strikes out swinging.","R","R","L","CIN","PIT","S",,,1,1,2023,"-1.83","-0.09","0.75","2.47",,,,1,5,"Top",,,,,592200,,,-3.143784074644787,-111.9364645532191,0.4602410860064825,-14.506700041123944,23.50657126396842,-33.23200735479753,"3.17","1.51",,,,"75.8",2915,"5.8",718756,666157,592200,663886,663697,668715,676480,656413,670770,571976,"54.68",,,,,,,,39,3,"Curveball",3,2,2,3,2,3,2,3,"Standard","Standard",308,"0","-0.044"
